{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:50:19', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:50:37', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:51:16', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:51:30', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:51:44', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:52:02', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:52:18', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:52:38', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:52:57', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:53:11', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:53:45', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:54:03', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:54:16', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:54:27', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:54:45', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '18:02:13', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
